"","RMS Delta","RMS LCL","RMS UCL","2y Delta","2y LCL","2y UCL","5y Delta","5y LCL","5y UCL"
"Cox",0.402153486854438,0.354334163956232,0.457933695923064,0.0166634006495439,0.0147441618851877,0.0193427014307751,0.0414331181257401,0.0366640248971933,0.0471827312240733
"TV Cox: log-T",0.447859808800409,0.401309986156135,0.501183014894261,0.0289100752692382,0.0259435780686995,0.0328758857133762,0.0507221336213076,0.0462723857156239,0.0560445080938774
"TV Cox: PWC",0.449984636359567,0.40470112390223,0.502723657101423,0.0321657810046544,0.0284943160723979,0.037005797394844,0.0532595212754575,0.0484021485505424,0.0595444429860672
"AFT Gen Gamma",0.412673583898812,0.36641599623214,0.484488753857127,0.0174230000018802,0.0156071412796914,0.0214241296783533,0.0431613439075682,0.0385134888643727,0.0511691077096854
"AFT Wbl TV shape",0.458145719552258,0.41057012917304,0.511439160233045,0.0314734774504566,0.0284740795152232,0.0354369412411232,0.0526531808591407,0.04780412396873,0.0580701623862908
"Weighted K-M",0.455544193484611,0.411383130476318,0.51263321819314,0.0320188761252604,0.0283084572852571,0.0368337085908432,0.0530345275632638,0.048053180695797,0.0590552557349785
"Pseudo-obs",0.284871731818216,-0.00640133291235307,1.23974373731243,0.00939968672721114,-0.0185648177818052,0.109094865759795,0.0194314283461509,-0.0037978026369371,0.133237869415242
