"Scenario","Method","2y","5y","10y","median","RMS"
"Modest NPH","CTV.LT",0.00253215276577438,0.00168463582001301,-0.000133980607225962,-0.0172110249788273,-0.0515610627336553
"Modest NPH","CTV.LPW",-0.0129320332744433,-0.00759091300732547,0.00346523213106054,-0.0476125199753246,-0.0763236402247515
"Modest NPH","NCM",-0.0395961102224604,-0.022340788954623,0.0106184848567605,-0.0964905902718059,-0.14013193329221
"Modest NPH","NUA",-0.0585892190443505,-0.0863195623738821,-0.0944130407327709,-2.49473527074174,-1.20668415682358
"Modest NPH","PO",0.0005023519225832,-0.000298312555903903,-6.33447952520956e-05,-0.0221449968383211,-0.0436867461840622
"Modest NPH","WKM",0.000448558911664797,-0.000340607630125602,-9.41862179289781e-05,-0.021467225096221,-0.044331622575767
"Modest TE","AFT.GG",-0.0638971839121437,-0.0257676165378585,0.0287683576905761,-0.322593865606941,-0.0488369981914011
"Modest TE","AFT.WBL.LS",-0.00414287900423769,0.000347602479483074,0.00172242734423782,-0.0096994571503374,-0.00273168709041272
"Modest TE","CTV.LT",0.00488083875696057,0.00353647285028008,0.00163523100870118,0.0111349072808973,-0.00810983867393834
"Modest TE","CTV.LPW",-0.0120122724097993,-0.00331275566709989,0.00471580578642217,-0.0415703075801669,-0.0170949757054141
"Modest TE","NCM",-0.0699648007086567,-0.0323343958250619,0.023560387902507,-0.470998468803364,-0.125959655082609
"Modest TE","NUA",-0.0628307485203839,-0.0927556174418888,-0.0936185181771783,-1.89271651529843,-1.1851961728035
"Modest TE","PO",0.000459951650812921,-0.000768697158748614,0.000618192521413602,-0.0174287096046902,0.000209048615091679
"Modest TE","WKM",0.000407872720305004,-0.000806993948772777,0.000590087249837158,-0.0182838840887823,-0.000377680564585558
"Small SS","AFT.GG",-0.056972312698,-0.026766845906,0.026017947424,-0.037306559182,-0.13209869214
"Small SS","AFT.WBL.LS",-0.006237321002,-0.002863783876,0.002604274608,-0.053294583566,-0.060304528534
"Small SS","CTV.LT",0.003097124162,0.002968363442,0.00041779614,-0.015827104574,-0.072291672594
"Small SS","CTV.LPW",-0.010647038816,-0.00522337729,0.0032754523888,-0.039071038188,-0.079560773288
"Small SS","NCM",-0.069727274912,-0.038115070606,0.020114165416,-0.338952343844,-0.245654515528
"Small SS","NUA",-0.06089362805,-0.089840147058,-0.095267053862,-2.184191414028,-1.17383385678
"Small SS","PO",-0.000825597172,-0.000684288818,0.000412058258,-0.017568170704,-0.059370031688
"Small SS","WKM",-0.000457003598,-0.000407357696,0.000593715934,-0.020815232398,-0.05595053902
"GG lambda -0.5","AFT.GG",-0.000321306762128918,-0.000709924770966247,0.000743075208735137,0.0036467857139962,-0.0453739464608835
"GG lambda -0.5","AFT.WBL.LS",-0.0239893740440158,-0.01217240138645,0.0123678648390623,-0.528954278498365,-0.0554037068284554
"GG lambda -0.5","CTV.LT",0.00218554737117205,0.00219504811384001,0.000509835558392744,0.0164043844527854,-0.0599493577045186
"GG lambda -0.5","CTV.LPW",-0.0075736407859112,0.00316874667330993,0.00238217818502307,0.0760169225483313,-0.0480705096142868
"GG lambda -0.5","NCM",-0.0519234999765834,-0.0278676234180214,0.0146987490131662,-0.00778714710327346,-0.152183624370974
"GG lambda -0.5","NUA",-0.0626708990497435,-0.0862443702055531,-0.0804976854839685,-2.19387128717535,-1.09808856810781
"GG lambda -0.5","PO",0.000254494823744172,-0.000437548985466526,-0.00036616944420799,-0.00311981363646724,-0.049679432390373
"GG lambda -0.5","WKM",0.000414095892835457,-0.000319720611378637,-0.0002954041414798,-0.00173131197155856,-0.0482150552792899
"GG lambda 2.5","AFT.GG",-0.000552676312630533,-0.00111346585772641,-0.000811925968644434,-0.0283301053716247,-0.0526574595008569
"GG lambda 2.5","AFT.WBL.LS",0.00861310186125148,0.00413660006143236,-0.00491819940108545,0.256706893466192,-0.0463363923125283
"GG lambda 2.5","CTV.LT",-0.00253838850640895,-0.00175260562906854,-0.000377878594367524,0.0278006987732541,-0.0536408725790008
"GG lambda 2.5","CTV.LPW",-0.0853026534332069,-0.0273379880592625,0.0370517001978637,0.154848448245536,-0.13092592379925
"GG lambda 2.5","NCM",0.0147320320949691,0.00715938410383606,-0.00541976501923805,0.114752094742035,-0.0185733378506694
"GG lambda 2.5","NUA",-0.0371694466730476,-0.0489939835737418,-0.0580782667618301,-1.80761707245421,-0.756086881415556
"GG lambda 2.5","PO",-0.000847061512087548,-0.000538885614924007,-0.000624619963393804,-0.0263880454651401,-0.0498820215584208
"GG lambda 2.5","WKM",-0.000779912268609481,-0.00048596373805881,-0.000589176650627594,-0.0248437983892834,-0.049248127189006
